detalhe_incidente;tipo_incidente;detalhe_limpo
projeto check feeder adaptar setor imc fabrico tv extensão check feeder setor imc;Avaliação_Técnica;projeto check feeder adaptar setor imc fabrico extensão check feeder setor imc
alteração colaborador aprovação aplicação sisap ajustir divergência amarração helanat paraingrids alteração aprovador motivo férias;Adequação de layout;alteração colaborador aprovação aplicação ajustir divergência amarração helanat paraingrids alteração aprovador motivo férias
correção relatório produção dia contingênciar correção relatório contingêncer;Erro;correção relatório produção contingênciar correção relatório contingêncer
solicitar pareamento fifo imc pareamento fifo imc;Corretiva;solicitar pareamento fifo imc pareamento fifo imc
sistema ondrive não atualizar tablet colaborador acessar mês dezembro registrar informação porém aparecer tudo novembro atualização on drive;Erro;ondrive atualizar tablet colaborador acessar mês dezembro registrar informação porém aparecer tudo novembro atualização drive
abap loteqa du ocultar coletor pm gmt ingrid lamego carioca descrição conforme reunião gostar otimizar atividade liberação produto área quarentena após análise detecção vazamento gás hoje fluxo seguir seguinte maneira acesso sap variante criar liberação excluir data lote criar n executar selecionar arcon selecionar ac unidade liberar tomar otimização liberação produto quarentena;Melhorias;abap loteqa ocultar coletor carioca descrição conforme reunião gostar otimizar atividade liberação produto área quarentena após análise detecção vazamento gás hoje fluxo seguir seguinte maneira variante criar liberação excluir data lote criar executar selecionar arcon selecionar unidade liberar tomar otimização liberação produto quarentena
solicitar acesso fssc subir nota fiscal pedido compra geração miro assim aprovação sisap;Nova instalação;solicitar fssc subir nota fiscal pedido compra geração miro assim aprovação
cadastrar ean ar condicionado instalaçao Permissao;Nova instalação;cadastrar ean condicionado instalaçao permissao
preciso criar login sisap copiar login herbertrm sisap;Avaliação_Técnica;preciso criar login copiar login
poder favor fazer melhoria sisap colocar data criaçao puder setar data poder fazer migraçao sap status avisar migrar não melhoria sisap;Melhorias;poder fazer melhoria colocar data criaçao puder setar data poder fazer status avisar migrar melhoria
sistema principio pedir atualizaçao atualizar aparecer erro querer colocar descriçao gerar novo ean erro aparecer caso colocar algum item ean pois dar erro database erro;Erro;principio pedir atualizaçao atualizar aparecer erro querer colocar descriçao gerar novo ean erro aparecer caso colocar algum item ean pois dar erro database erro
sistema aparecer areo trabalho dever atualizar erro;Erro;aparecer areo trabalho dever atualizar erro
preciso cadastro alterar codigo coloque codigo nao conseguir corrigir alterar registro intreno fazer correçao poder cadastrar outro ean sim;Corretiva;preciso cadastro alterar codigo coloque codigo nao conseguir corrigir alterar registro intreno fazer correçao poder cadastrar outro ean sim
thiago conseguiria favor serial painel lir hoje ne produto talvez consigar rastrear comparar sequencial código bipado ecn não material fábrica;Avaliação_Técnica;conseguiria serial painel lir hoje produto talvez consigar rastrear comparar sequencial código bipado ecn material fábrica
necessário visualizar taxa falha teste placa rede imc separar registro rede registro placa principal separar registro falha placo rede imc;Corretiva;necessário visualizar taxa falha teste placa rede imc separar registro rede registro placa principal separar registro falha placo rede imc
inspetor ismael Gomes user ismaelgsx fabian ferreira user fabianfs não ter permissão reabrir lote processo inspeção oba sisap conseguir efetuar processo inspeção ob porém caso fechamento indevido acidental sisap ficar impossibilitado reabrir inspeção liberar reabertura lote inspeção sisap oba;Corretiva;inspetor ter permissão reabrir lote processo inspeção oba conseguir efetuar processo inspeção porém caso fechamento indevido acidental ficar impossibilitado reabrir inspeção liberar reabertura lote inspeção oba
solicitar readequação roteador sala oba confiabilidade banda independente detecção rede haver modelo rodar somente frequência separação banda redes Rede cq oba;Melhorias;solicitar readequação roteador sala oba confiabilidade banda independente detecção rede modelo rodar somente frequência separação banda redes rede oba
retirar cálculo automático Campo meta inspeção vide linkr abaixo alterar referir campo input manual parametrizar inspetor base plano produção diário definição manual meta inspeção diário;Melhorias;retirar cálculo automático campo meta inspeção vide linkr abaixo alterar referir campo input manual parametrizar inspetor base plano produção diário definição manual meta inspeção diário
usuário cq abaixo não conseguir efetuar reabertura lote inspeção sisap edição necessário normalmente input alteração dado usuário luizpp elybm andersonss reabrir editar lote inspeção ob;Erro;abaixo conseguir efetuar reabertura lote inspeção edição necessário normalmente input alteração luizpp elybm andersonss reabrir editar lote inspeção
incluir novo checklists inspeção cq sisap substituição atual incluir checklists inspeção sisap posto oba;Melhorias;incluir novo checklists inspeção substituição atual incluir checklists inspeção oba
necessário incluir novo checklists inspeção oqc menu oba sisap atualmente registro realizar planilha excel incluir checklists inspeção sisap posto oba;Nova instalação;necessário incluir novo checklists inspeção oqc menu oba atualmente registro realizar planilha excel incluir checklists inspeção oba
solicitar inclusão novo checklist rotino inspeção produto função qualidade sistema sisap contatar hitle francisco dcq detalhe incluir novo checklist inspeção sisap posto oba;Melhorias;solicitar inclusão novo checklist rotino inspeção produto função qualidade contatar detalhe incluir novo checklist inspeção oba
solicitação input manual meta qtde amostra linha dia mf alinhamento metodologia amostragem ob input manual meta amostragem inspeção diário oba;Adequação de layout;input manual meta qtde amostra alinhamento metodologia amostragem input manual meta amostragem inspeção diário oba
solicitar restauração acesso usuário cq glaubercv não conseguir logar máquina assim não registrar inspeção nem avaliar produto tentar acessar aparecer msg tela banco dado segurança servidor não conta computador relação confiança de este estação trabalho restaurar conta acesso login;Erro;solicitar restauração conseguir logar máquina assim registrar inspeção avaliar produto tentar acessar aparecer msg tela banco segurança servidor conta computador relação confiança estação trabalho restaurar conta login
solicitar desassociação painel pa serial apresentar problema qualidade durante inspeção oqc desassociação painel pa;Corretiva;solicitar desassociação painel serial apresentar qualidade durante inspeção oqc desassociação painel
integração software asm novo linha smt coleta informação sistema controle produção sisap integração consistir coleta informação lançar sistema asm intepretação dado gravação banco dado salvar informação referente coleta serial contabilização passagem embalagem produto integração ordem alimentação sisap asm validar dado ordem produção lista descarte componente controlar insersora smt integração baixa componente sisap sap validação dado referente auditoria componente realizar sistema asm integração asm sisap;Melhorias;integração software asm novo smt coleta informação controle produção integração consistir coleta informação lançar asm intepretação gravação banco salvar informação referente coleta serial contabilização passagem embalagem produto integração ordem alimentação asm validar ordem produção lista descarte componente controlar insersora smt integração baixa componente validação referente auditoria componente realizar asm integração asm
inserir layout relatorio entrada saer carreta bau nome fornecedor inclusaõ campo relatorio portaria;Adequação de layout;inserir layout relatorio entrada saer carreta bau nome fornecedor inclusaõ campo relatorio portaria
gostaríamo adicionar função aba roteiro pudésser ter acesso relatório todo roteiro criar planto desenvolver função eventual caso pudésser fazer carga massa roteiro criação alteração desenvolver formato padrão usar upload carga massa sistema inclusão função roteiro;Melhorias;adicionar função aba roteiro pudésser ter relatório todo roteiro criar planto desenvolver função eventual caso pudésser fazer carga massa roteiro criação alteração desenvolver formato padrão usar upload carga massa inclusão função roteiro
relacionar chamado desenvolvimento de este chamado pm gmt herbert Rodrigues mendonça hoje sap não existir nenhum transação poder extrair sistema relatório todo roteiro criar sistema nem algum poder fazer alteração massa solicitar criar onde poder mesmo transação escolher extração excell alteração tela principal preciso poder colocar varia nes onde dever disponivel campo onde poder colocar planto mesmo tela preciso disponível campo data criação puxar nome responsável criação exemplo tela abaixo de esse campo preciso campo onde poder selecionar querer alterar informação roteiro massa caso ser selecionar alteração obrigatório uso template padrão estabeleci planilha excell anexo fomato excell preciso achar campo tela principal upload arquivo caso não vir selecionar alteração poder gerar arquivo extrair;Avaliação_Técnica;relacionar chamado desenvolvimento chamado herbert rodrigues mendonça hoje existir nenhum transação poder extrair relatório todo roteiro criar algum poder fazer alteração massa solicitar criar onde poder transação escolher extração excell alteração tela principal preciso poder colocar varia nes onde dever disponivel campo onde poder colocar planto tela preciso disponível campo data criação puxar nome responsável criação exemplo tela abaixo campo preciso campo onde poder selecionar querer alterar informação roteiro massa caso selecionar alteração obrigatório uso template padrão estabeleci planilha excell anexo fomato excell preciso achar campo tela principal upload arquivo caso vir selecionar alteração poder gerar arquivo extrair
problema cadastro matéria item não conseguir transferir alinhamento fazer via tems ingrid carioca cq permissão realizar transação transferência;Corretiva;cadastro matéria item conseguir transferir alinhamento fazer via tems ingrid carioca permissão realizar transação transferência
conforme alinhar paulo Costa necessario cadastro novo linha apontamento copper tube cnc descrição linha copper tubes cnc observação tubo transição copper tubes cnc obsrvação tubo capilar cadastro linha apontamento copper tube;Nova instalação;conforme alinhar necessario cadastro novo apontamento copper tube cnc descrição copper tubes cnc observação tubo transição copper tubes cnc obsrvação tubo capilar cadastro apontamento copper tube
atualmente realizar cadastro item módulo rastreabilidade cadastro detalhamento item onde registrar ne seguinte componente ac cond evap kit recentemente enfrentar problema produção devido falta informação essencial em esse cadastro além erro recorrente descrição item evitar recorrência de esse falha precisar implementar regra obrigatoriedade mecanismo sinalização erro campo crítico cadastro validação dever garantir informação indispensável preenchir corretamente antes conclusão registro reduzir inconsistência aumentar confiabilidade processo anexo segar informação obrigatoriedade campo cadastro item;Melhorias;atualmente realizar cadastro item módulo rastreabilidade cadastro detalhamento item onde registrar seguinte componente cond evap kit recentemente enfrentar produção devido falta informação essencial cadastro além erro recorrente descrição item evitar recorrência falha precisar implementar regra obrigatoriedade mecanismo sinalização erro campo crítico cadastro validação dever garantir informação indispensável preenchir corretamente antes conclusão registro reduzir inconsistência aumentar confiabilidade processo anexo segar informação obrigatoriedade campo cadastro item
alteração sistema liberação quarentena agora ir liberar produto sem ac coletor necessário fazer alteração alinhar leandro pagan alteração sistema liberação quarentena;Melhorias;alteração liberação quarentena agora liberar produto necessário fazer alteração alinhar alteração liberação quarentena
precisar criar material kit chave colocar aba classificaçao onde abriar campo colocar informaçao sistema sisap pegar informaçao forma automatica criacao chave aba classificaçao kit acessorio;Avaliação_Técnica;precisar criar material kit chave colocar aba classificaçao onde abriar campo colocar informaçao pegar informaçao forma automatica criacao chave aba classificaçao kit acessorio
sipap melhoria formulário cadastro modelo eng tipo melhoria evolução aplicação categoria serviço engenharia produto formulário ci sistema sipap engenhario ambiente homologação produção grupo designar informar prioridade impacto urgência alta alto média solicitante informar responsável felipe nascimento resumo executivo novo validação automação Campos ver rfc sap criar atualizar item Merge deploy homologação descrição detalhar síntese validação formulário automação rfc sap teste integridade homologação ajuste conforme feedback solicitante escopo formulário cadastro modelo engenharia criar atualizar histórico lançamento esforço realizar mês h tarefa concluído merge deploy homologação bugfix melhoria solicitar risco dependêncio disponibilidade rfc sap janela homologação produção anexo sugerir prints roteiro teste registro homologação melhoria formulário cadastro modelo eng;Melhorias;sipap melhoria formulário cadastro modelo eng tipo melhoria evolução aplicação categoria serviço engenharia produto formulário sipap engenhario ambiente homologação produção grupo designar informar prioridade impacto urgência alta alto média solicitante informar responsável nascimento resumo executivo novo validação automação campos ver criar atualizar item merge deploy homologação descrição detalhar síntese validação formulário automação teste integridade homologação ajuste conforme feedback solicitante escopo formulário cadastro modelo engenharia criar atualizar histórico lançamento esforço realizar mês tarefa concluído merge deploy homologação melhoria solicitar risco dependêncio disponibilidade janela homologação produção anexo sugerir prints roteiro teste registro homologação melhoria formulário cadastro modelo eng
sisap cadastro item módulo rastreabilidade cadastro detalhamento item onde registrar ne tipo melhoria evolução aplicação categoria serviço engenharia produto cadastro ci sistema sisap rastreabilidade detalhamento item ambiente homologação produção parcial grupo designar informar prioridade impacto urgência alta alto média solicitante informar responsável felipe nascimento resumo executivo robustecimento detalhamento item novo biblioteca validação contagem cadastro múltiplo service result limpeza código regra contra inconsistência nulo descrição detalhar síntese análise tela dar substituição biblioteca validação atualização conforme mrs encadear retirada código comentado atualização regra componente suportar crud completo escopo tela manter detalhe item rastreabilidade cadastro histórico lançamento esforço realizar mês h tarefa concluído biblioteca validação jquery contador cadastro múltiplo service result limpeza comentário regra validação atualizar risco dependêncio aderência usuário integração sap mrs correlato anexo sugerir prints tela evidência validação mrs cadastro item módulo detalhamento item;Melhorias;cadastro item módulo rastreabilidade cadastro detalhamento item onde registrar tipo melhoria evolução aplicação categoria serviço engenharia produto cadastro rastreabilidade detalhamento item ambiente homologação produção parcial grupo designar informar prioridade impacto urgência alta alto média solicitante informar responsável nascimento resumo executivo robustecimento detalhamento item novo biblioteca validação contagem cadastro múltiplo service result limpeza código regra contra inconsistência nulo descrição detalhar síntese análise tela dar substituição biblioteca validação atualização conforme mrs encadear retirada código comentado atualização regra componente suportar crud completo escopo tela manter detalhe item rastreabilidade cadastro histórico lançamento esforço realizar mês tarefa concluído biblioteca validação jquery contador cadastro múltiplo service result limpeza comentário regra validação atualizar risco dependêncio aderência integração mrs correlato anexo sugerir prints tela evidência validação mrs cadastro item módulo detalhamento item
dar erro processo unimar pedir fator conversao pc ser item cadastrar kg pedido estao favor verifcar errao veroificaçao erro unidade medir;Erro;dar erro processo unimar pedir fator conversao item cadastrar pedido estao verifcar erro unidade medir
preciso usuario ingridlc acesso transaçao migo fazer transferencia deposito baixo scrap migo;Avaliação_Técnica;preciso usuario ingridlc transaçao migo fazer transferencia deposito baixo scrap migo
solicitar autorização aprovaçao grupo comprador sqa login katarinafm iaraom pedir compra;Melhorias;solicitar autorização aprovaçao grupo comprador sqa login katarinafm iaraom pedir compra
preciso Criaçao novo usuario silvaneidir dario cópia acesso sap igual usuário alexandreo denizar Matos cópia acesso sap igual usuário alexandreo criaçao usuario;Avaliação_Técnica;preciso criaçao novo usuario cópia igual alexandreo denizar matos cópia igual alexandreo criaçao usuario
favor verificar pois nao consigo mudar unidade medida nao ter pedir nem entrada item verificar item modificar unidade pc m;Corretiva;pois nao consigo mudar unidade medida nao ter pedir entrada item item modificar unidade
poder configurar sap item zsem planto tipo suprimento f suprimento especial informaçao configuraçao sap zsem;Corretiva;poder configurar item zsem planto tipo suprimento suprimento especial informaçao configuraçao
poder adicionar parte multinivel caso usuario querer selecionar aparecer maneira foto melhoria;Melhorias;poder adicionar parte multinivel caso usuario querer selecionar aparecer maneira foto melhoria
pedir acesso configuração setup produção sisap pedir acesso;Corretiva;pedir configuração setup produção pedir
pedir acesso configuração setup produção sisap pedir acesso;Corretiva;pedir configuração setup produção pedir
justifique intuito obter informação rapidez veículo transportador entrar sair planto solicitar acesso sistema portaria usuário abaixo arionaldo antonion ismaelss henriquef aceeso sistema portaria;Melhorias;justifique intuito obter informação rapidez veículo transportador entrar sair planto solicitar portaria abaixo arionaldo antonion ismaelss henriquef aceeso portaria
romero conforme informeir ver teams divergência saldo sistema modelo solicitar ajuda resolução de esse problema saldo divergente;Melhorias;ver teams divergência saldo modelo solicitar ajuda resolução saldo divergente
verificar pedido abaixo pois constar abrir impactar processo calo verifiquei algum remessa estornar tentar eliminar remessa jogar pedido lixeira não possível pedido antigo abrir;Melhorias;pedido abaixo pois constar abrir impactar processo calo verifiquei algum remessa estornar tentar eliminar remessa jogar pedido lixeira possível pedido antigo abrir
henrickson santo informar todo vez ir fazer processo nota passar normal por retorno problema ai talvez problema sap nao nota querer de esse verificado ajustir subcontratação;Melhorias;informar todo vez fazer processo nota passar normal retorno talvez nao nota querer verificado ajustir subcontratação
favor carregar xml anexo seidor pois não possível fazer carga automaticamente carga xmls seidor;Melhorias;carregar xml anexo seidor pois possível fazer carga automaticamente carga xmls seidor
sistema não conseguir fazer check list sistema sipap;Erro;conseguir fazer check list sipap
não acessar baixa scrap sistema sisap;Corretiva;acessar baixa scrap
sistema sipap continuar inoperante desde dia enviar dti não retorno sistema sipap;Corretiva;sipap continuar inoperante desde enviar dti retorno sipap
sisap aparecer informação indevir modelo linha não informar gerar produção sistema sisap;Corretiva;aparecer informação indevir modelo informar gerar produção
sistema sisap inoperante colaborador andersonr Silva Carvalho sistema sisap;Corretiva;inoperante colaborador andersonr
troca senha sap troca senha sap;Retorno;troca senha troca senha
solicitar acesso colaboradordaniel vasconcelo rei danielvr acesso função liberação carretel desbloquear carretel dentro check feeder pois não acesso op senior acesso função liberação carretel desbloquear carretel dentro che;Corretiva;solicitar colaboradordaniel rei função liberação carretel desbloquear carretel dentro check feeder pois senior função liberação carretel desbloquear carretel dentro che
tipo acesso adicionar caixa correio check feeder especificar Daniel Vasconcelos rei solicitar acesso colaborador Daniel Vasconcelos rei acesso função liberação carretel desbloquear carretel dentro check feeder pois não acesso operador sênior sistema sisap;Melhorias;tipo adicionar caixa correio check feeder especificar rei solicitar colaborador rei função liberação carretel desbloquear carretel dentro check feeder pois operador sênior
solicitar acesso conta sap utilizar area trabalho permissão acesso sap;Avaliação_Técnica;solicitar conta utilizar area trabalho permissão
painel alimentar errar linha entrar semp lugar tcl seguir ns limpar numero serie produto;Erro;painel alimentar errar entrar semp lugar tcl seguir limpar numero serie produto
não consigar fazer checklist modelo não programar melhoria sipap;Melhorias;consigar fazer checklist modelo programar melhoria sipap
favor substituir numero serie painel conforme abaixo n s ap sair painel entrar painel troca serial painel Prob qualidade;Melhorias;substituir numero serie painel conforme abaixo sair painel entrar painel troca serial painel prob qualidade
limpar número série devido problema qualidade limpar numero serie produto;Melhorias;limpar número série devido qualidade limpar numero serie produto
painel apresentar linha vertical n s sair entrar troca serial painel Prob qualidade;Avaliação_Técnica;painel apresentar vertical sair entrar troca serial painel prob qualidade
erro aprovar checklist login trocar erro aprovador checklist;Erro;erro aprovar checklist login trocar erro aprovador checklist
painel após algum tempo teste cq apresentar defeito elétrico sair painel n s entrar painel n s troca serial painel Prob qualidade;Melhorias;painel após algum tempo teste apresentar defeito elétrico sair painel entrar painel troca serial painel prob qualidade
favor trocar placa conforme abaixo sistema sisap devido problema qualidade analise cq eng n s prod entrar pci pr sair pci pr troca serial pci pr prob qualidade;Avaliação_Técnica;trocar placa conforme abaixo devido qualidade analise eng prod entrar pci sair pci troca serial pci prob qualidade
placa montar vs errado limpar numero serie produto;Corretiva;placa montar errado limpar numero serie produto
painel associado problema qualidade limpar numero serie produto;Corretiva;painel associado qualidade limpar numero serie produto
número série associar painel errar limpar numero serie produto;Erro;número série associar painel errar limpar numero serie produto
desassociar placa retornar Paulo uso novo produto desassociar placa retrabalhado;Erro;desassociar placa retornar paulo uso novo produto desassociar placa retrabalhado
limpar número série devido problema qualidade painel modelo tv led semp cq tratar problema junto fornecedor limpar numero serie produto;Corretiva;limpar número série devido qualidade painel modelo led semp tratar junto fornecedor limpar numero serie produto
tentativa ler dois kit acessório produto embalar mensagem erro sumir após leitura próximo aparelho ocorrer coleta aparelho ponta linha expedição mensagem erro embalagir recebimento expedição;Melhorias;tentativa ler dois kit acessório produto embalar mensagem erro sumir após leitura próximo aparelho ocorrer coleta aparelho ponta expedição mensagem erro embalagir recebimento expedição
etiqueta cortar picote causar associação indevir limpar passagem número série;Corretiva;etiqueta cortar picote causar associação indevir limpar passagem número série
entrar painel errar linha favor limpar serial abaixo limpar passagem número série;Corretiva;entrar painel errar limpar serial abaixo limpar passagem número série
favor retirar defeito anexo relatório técnico sisap duplicado técnico equivocar acabar lançar aparelho dois vez lançamento duplicar;Corretiva;retirar defeito anexo relatório técnico duplicado técnico equivocar acabar lançar aparelho dois vez lançamento duplicar
favor limpar passagem número serie abaixo pois montar limpar passagem número série;Corretiva;limpar passagem número serie abaixo pois montar limpar passagem número série
erro alimentação iac preciso desassociar aparelho abaixo conserto placa favor atender breve possível devido fechamento mensal limpar passagem número série;Corretiva;erro alimentação iac preciso desassociar aparelho abaixo conserto placa atender breve possível devido fechamento mensal limpar passagem número série
devido problema falta material solicitar limpeza passagem número serie abaixo limpar passagem número série;Corretiva;devido falta material solicitar limpeza passagem número serie abaixo limpar passagem número série
posto amarra painel linha setupr fazer linha favor limpar passagem número serie abaixo limpar passagem número série;Corretiva;amarra painel setupr fazer limpar passagem número serie abaixo limpar passagem número série
painel entrar errar linha solicitar limpar ns abaixo associar painel correto limpar passagem número série;Corretiva;painel entrar errar solicitar limpar abaixo associar painel correto limpar passagem número série
diagnostico pci rede porém pci testar outro aparelho não apresentar falha seguir número retirada defeito sistema n s retirar defeito incorreto relatório;Corretiva;diagnostico pci rede porém pci testar outro aparelho apresentar falha seguir número retirada defeito retirar defeito incorreto relatório
defeito lançar duplicar em esse n s correção relatório técnico;Corretiva;defeito lançar duplicar correção relatório técnico
problema não painel sim pci principal favor retirar todo registro defeito numero série abaixo limpar numero relatório técnico;Corretiva;painel sim pci principal retirar todo registro defeito numero série abaixo limpar numero relatório técnico
painel vir fornecedor calço causar dano painel não chegar posto teste favor limpar amarração limpar passagem número série;Corretiva;painel vir fornecedor calço causar dano painel chegar teste limpar amarração limpar passagem número série
não conseguir pesquisar ritmo produção dia anterior produção horo hora;Corretiva;conseguir pesquisar ritmo produção anterior produção horo hora
limpar amarração número serie abaixo problema qualidade painel limpar passagem número série;Corretiva;limpar amarração número serie abaixo qualidade painel limpar passagem número série
devido alimentação errar painel linha defeito registrar linha favor retirar relatório técnico linha lançamento defeito número série abaixo limpar numero relatório técnico;Corretiva;devido alimentação errar painel defeito registrar retirar relatório técnico lançamento defeito número série abaixo limpar numero relatório técnico
n s associar painel outro modelo limpar passagem número série;Corretiva;associar painel outro modelo limpar passagem número série
limpar passagem n s devido problema qualidade limpar passagem número série;Corretiva;limpar passagem devido qualidade limpar passagem número série
favor limpar passagem n s abaixo devido problema qualidade modelo ncr abrir fornecedor nº limpar passagem número série;Corretiva;limpar passagem abaixo devido qualidade modelo ncr abrir fornecedor limpar passagem número série
limpar passagem associação número série abaixo devido problema qualidade ncr limpar passagem número série associação;Corretiva;limpar passagem associação número série abaixo devido qualidade ncr limpar passagem número série associação
limpar passagem associação número série abaixo devido problema qualidade ncr limpar passagem número série associação;Corretiva;limpar passagem associação número série abaixo devido qualidade ncr limpar passagem número série associação
limpar passagem associação número série abaixo devido problema qualidade ncr favor fazer etiqueta abaixo limpar passagem número série associação;Corretiva;limpar passagem associação número série abaixo devido qualidade ncr fazer etiqueta abaixo limpar passagem número série associação
problema qualidade painel ncr aberto limpar passagem número série associação;Corretiva;qualidade painel ncr aberto limpar passagem número série associação
dever montagem divergente iac imc solicitar limpar passagem desassociar nú mero série abaixo limpar passagem número série associação;Corretiva;dever montagem divergente iac imc solicitar limpar passagem desassociar mero série abaixo limpar passagem número série associação
aparelho embalar placa erro alimentação iac precisar substituír placa novo substituição n s placa prod embalar;Corretiva;aparelho embalar placa erro alimentação iac precisar substituír placa novo substituição placa prod embalar
aparelho apresentar defeito qualidade ainda sem diagnostico limpar passagem número série associação;Corretiva;aparelho apresentar defeito qualidade ainda diagnostico limpar passagem número série associação
limpar numero serie abaixo defeito qualidade limpar passagem número série associação;Corretiva;limpar numero serie abaixo defeito qualidade limpar passagem número série associação
painel associado problema qualidade ncr limpar passagem número série associação;Corretiva;painel associado qualidade ncr limpar passagem número série associação
defeito ncr aberto limpar número serie abaixo limpar passagem número série associação;Corretiva;defeito ncr aberto limpar número serie abaixo limpar passagem número série associação
aparelho problema qualidade favor limpar passagem associação entregar peça cq limpar passagem número série associação;Corretiva;aparelho qualidade limpar passagem associação entregar peça limpar passagem número série associação
colaborador posto amarração conseguir selecionar item tela coleta sisap jogar área leitura solicitar verificar forma congelar descrição não consigar selecionar nenhum informação tela leitura etiqueta encer;Melhorias;colaborador amarração conseguir selecionar item tela coleta jogar área leitura solicitar forma congelar descrição consigar selecionar nenhum informação tela leitura etiqueta encer
lançamento defeito linha errar modelo passar linha defeito lançar linha solicitar correção quantidade defeito lançar linha errar correção relatório técnico;Corretiva;lançamento defeito errar modelo passar defeito lançar solicitar correção quantidade defeito lançar errar correção relatório técnico
solicitar limpeza passagem aparelho abaixo montar linha limpar passagem número série;Corretiva;solicitar limpeza passagem aparelho abaixo montar limpar passagem número série
solicitar transferir defeito modelo linha linha correção relatório técnico;Corretiva;solicitar transferir defeito modelo correção relatório técnico
solicitar substituição painel associar n s sair entrar substituir amarração painel;Melhorias;solicitar substituição painel associar sair entrar substituir amarração painel
solicitar limpeza passagem n s produto amarrar linha limpar passagem número série;Corretiva;solicitar limpeza passagem produto amarrar limpar passagem número série
solicitar limpar passagem n s testar linha limpar passagem número série;Corretiva;solicitar limpar passagem testar limpar passagem número série
solicitar limpeza n s montar teste limpar passagem número série;Corretiva;solicitar limpeza montar teste limpar passagem número série
limpar passagem n s limpar passagem número série;Corretiva;limpar passagem limpar passagem número série
favor limpar passagem n s abaixo limpar passagem número série;Melhorias;limpar passagem abaixo limpar passagem número série
solicitar limpeza passagem n s abaixo ir produzir produto limpar passagem número série;Corretiva;solicitar limpeza passagem abaixo produzir produto limpar passagem número série
solicitar limpeza n s abaixo ocorrer acidente painel limpar passagem número série;Corretiva;solicitar limpeza abaixo ocorrer acidente painel limpar passagem número série
solicitar limpeza n s abaixo painel pagar errar linha limpar passagem número série;Corretiva;solicitar limpeza abaixo painel pagar errar limpar passagem número série
limpar n s painel danificar retrabalho cq polegada limpar passagem número série;Retorno;limpar painel danificar retrabalho polegada limpar passagem número série
problema qualidade painel modelo ncr abrir fornecedor limpar passagem número série;Corretiva;qualidade painel modelo ncr abrir fornecedor limpar passagem número série
solicitar novo fluxo solicitação aprovação clear barcode seguir abaixo fluxo solicitante líder ingridcg kellyoa aprovador supervisor helanat Waltert melhoria fluxo solicitação aprovação clear barcode;Corretiva;solicitar novo fluxo aprovação clear barcode seguir abaixo fluxo solicitante líder aprovador supervisor helanat waltert melhoria fluxo aprovação clear barcode
favor substituir n s painel conforme abaixo devido aparelho ter cair após embalagem n s produto sair n s entrar n s painel substituição n s painel;Corretiva;substituir painel conforme abaixo devido aparelho ter cair após embalagem produto sair entrar painel substituição painel
favor substituir serial pci pr aparelho sair entrar pci analisar engenharia substituir amarração placa;Corretiva;substituir serial pci aparelho sair entrar pci engenharia substituir amarração placa
trocar origem defeito produto fornecedor estoque correção relatório técnico;Corretiva;trocar origem defeito produto fornecedor estoque correção relatório técnico
acompanhamento retrabalho linha elana precisar verificação linha;Adequação de layout;acompanhamento retrabalho elana precisar verificação
devido necessidade detalhamento laudo causa defeito aparelho solicitar aumento quantidade caracter campo observação tela manutenção posto técnico atualmente limitação caracter acabar ser insuficiente técnico elaborar parecer impacto de isso não salvar registro manutenção aumento limitador caracter descrição posto técnico;Corretiva;devido necessidade detalhamento laudo causa defeito aparelho solicitar aumento quantidade caracter campo observação tela manutenção técnico atualmente limitação caracter acabar insuficiente técnico elaborar parecer impacto salvar registro manutenção aumento limitador caracter descrição técnico
não conseguir desassociar etiqueta posto tecnico parar aparelho local necessitar intervenção ti fazer manualmente erro anexo etiqueta pci skd importar problema;Melhorias;conseguir desassociar etiqueta tecnico parar aparelho local necessitar intervenção fazer manualmente erro anexo etiqueta pci skd importar
sisap aumento limitador caracter descrição posto técnico tipo melhoria categoriaserviço posto técnico regra ui cisistema sisap posto técnico ambiente homologação grupo designar informar prioridade impacto urgência médio médio baixo solicitante informar responsável felipe nascimento resumo executivo ajustir limitador caracter descrição integrar novo biblioteca validação descrição detalhar síntese continuidade chamado correção debug aplicação novo regra validação tela posto técnico escopo campo descrição posto técnico histórico lançamento esforço realizar mês h tarefa concluído ajustir limitador validação aplicar risco dependêncio aderência usuário anexo sugerir prints contador evidência bloqueio aumento limitador caracter descrição posto técnico;Melhorias;aumento limitador caracter descrição técnico tipo melhoria categoriaserviço técnico regra cisistema técnico ambiente homologação grupo designar informar prioridade impacto urgência médio médio baixo solicitante informar responsável nascimento resumo executivo ajustir limitador caracter descrição integrar novo biblioteca validação descrição detalhar síntese continuidade chamado correção debug aplicação novo regra validação tela técnico escopo campo descrição técnico histórico lançamento esforço realizar mês tarefa concluído ajustir limitador validação aplicar risco dependêncio aderência anexo sugerir prints contador evidência bloqueio aumento limitador caracter descrição técnico
